CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
United Sports,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13,1,0,0,,,0,0,0,-94%,0,0,0,-100%,2,23,202,
AHQ,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Alex and Ani,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,-100%,-100%,0,0,15,1,-100%,-100%,4,0,0,311%,0,0,0,-100%,0,0,0,
Alliance Consumer Group,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,23,2,,,0,0,,,0,0,0,
Alora,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Alora (OEM),2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Alpha Industries,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Amerex,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
American BioSciences,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
American Biotech Labs,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
American Weigh Scales,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,3,0,,,0,0,,,0,0,0,
Amerock,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,,,0,0,,,1,9,25,
Amscope,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
Antego Tire & Wheel,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,0,0,,
AnySharp,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,44,2,-100%,-100%,950,73,0,"47,388%",0,0,0,-100%,0,0,0,
Arlo,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,005",24,-100%,-100%,0,0,"18,937",289,-100%,-100%,1,0,101,-100%,0,0,101,-100%,"23,211","1,972,738","335,270",
